*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=¹âÃô×·¹âÆ÷
*Date=09:44:28
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
108;220;THT;52.6143;-77.5398;-90;Bottom;R21
109;;;52.6143;-21.6598;0;Bottom;Hole92
110;;;83.0943;-67.3798;0;Bottom;Hole1
111;;;28.6962;-28.9404;0;Bottom;Via2
112;;;22.1343;-21.6598;0;Bottom;Hole82
113;;;42.4543;-49.5998;0;Bottom;Hole114
114;;;57.6943;-67.3798;0;Bottom;Hole11
115;;;42.4543;-80.0798;0;Bottom;Hole103
116;;;14.5143;-21.6598;0;Bottom;Hole87
117;;THT;80.5543;-10.2298;90;Bottom;R32
118;220;THT;52.6143;-31.8198;-90;Bottom;R24
119;;;55.1543;-21.6598;0;Bottom;Hole90
120;;;62.7742;-44.5198;0;Bottom;Hole50
121;;;19.5943;-67.3798;0;Bottom;Hole26
122;;;28.6962;-74.6604;0;Bottom;Via4
123;10;THT;75.4743;-8.95979;90;Bottom;R18
124;;;19.5942;-44.5198;0;Bottom;Hole51
125;;;25.9443;-49.5998;90;Bottom;M3
126;220;THT;9.43431;-8.95979;-90;Bottom;R2
127;;;19.5943;-21.6598;0;Bottom;Hole84
128;;;75.4742;-44.5198;0;Bottom;Hole41
129;;;42.4543;-47.0598;0;Bottom;Hole115
130;;;42.4543;-34.3598;0;Bottom;Hole119
131;;THT;4.35431;-10.2298;90;Bottom;R3
132;;;24.6743;-21.6598;0;Bottom;Hole79
133;;;42.4543;-77.5398;0;Bottom;Hole104
134;;THT;37.3743;-55.9498;90;Bottom;R12
135;;;70.3943;-67.3798;0;Bottom;Hole6
136;10;THT;75.4743;-31.8198;90;Bottom;R20
137;;DIP (Dual Inline) [THT];64.0443;-35.6298;90;Bottom;IC5
138;220;THT;9.43431;-31.8198;-90;Bottom;R6
139;;;42.4543;-24.1998;0;Bottom;Hole123
140;;THT;47.5343;-10.2298;90;Bottom;R25
141;;;37.3743;-67.3798;0;Bottom;Hole19
142;;;80.5542;-44.5198;0;Bottom;Hole37
143;;;75.4743;-67.3798;0;Bottom;Hole4
144;;;42.4543;-41.9799;0;Bottom;Hole116
145;;;1.81439;-21.6598;0;Bottom;Hole98
146;;;39.9143;-21.6598;0;Bottom;Hole67
147;;THT;37.3743;-10.2298;90;Bottom;R4
148;;;25.9443;-26.7398;90;Bottom;M2
149;;;27.2143;-67.3798;0;Bottom;Hole23
150;;;28.6962;-51.8004;0;Bottom;Via3
151;;;78.0142;-44.5198;0;Bottom;Hole39
152;;;60.2343;-67.3798;0;Bottom;Hole10
153;;;67.8543;-21.6598;0;Bottom;Hole80
154;;;42.4542;-44.5198;0;Bottom;Hole66
155;;;83.0942;-44.5198;0;Bottom;Hole35
156;;;11.9742;-44.5198;0;Bottom;Hole56
157;;;28.6963;-6.08024;0;Bottom;Via1
158;;;55.1543;-67.3798;0;Bottom;Hole12
159;;;42.4543;-69.9198;0;Bottom;Hole107
160;;;24.6743;-67.3798;0;Bottom;Hole24
161;;THT;4.35431;-33.0898;90;Bottom;R7
162;;;69.1243;-72.4598;90;Bottom;M5
163;10;THT;32.2943;-31.8198;90;Bottom;R5
164;;;72.9343;-67.3798;0;Bottom;Hole5
165;;;42.4543;-8.9597;0;Bottom;Hole128
166;;;42.4543;-21.6598;0;Bottom;Hole99
167;;;71.8762;-74.6604;0;Bottom;Via6
168;;;57.6942;-44.5198;0;Bottom;Hole55
169;;;17.0542;-44.5198;0;Bottom;Hole52
170;;DIP (Dual Inline) [THT];64.0443;-12.7698;90;Bottom;IC7
171;;;22.1343;-67.3798;0;Bottom;Hole25
172;;;29.7543;-67.3798;0;Bottom;Hole22
173;;;65.3143;-67.3798;0;Bottom;Hole8
174;;;71.8762;-51.8004;0;Bottom;Via8
175;;;42.4543;-85.1598;0;Bottom;Hole101
176;;THT;47.5343;-78.8098;90;Bottom;R28
177;;;71.8762;-28.9404;0;Bottom;Via5
178;;;34.8343;-67.3798;0;Bottom;Hole20
179;;;80.5543;-21.6598;0;Bottom;Hole70
180;10;THT;32.2943;-77.5398;90;Bottom;R13
181;;;78.0143;-67.3798;0;Bottom;Hole3
182;;;42.4543;-11.4997;0;Bottom;Hole127
183;;;6.89431;-44.5198;0;Bottom;Hole61
